State,Date Enacted,Date Lifted
Alabama,4/4/20,4/30/20
Alaska,3/28/20,4/24/20
Arizona,3/31/20,5/15/20
California,3/19/20,5/7/20
Colorado,3/26/20,4/27/20
Connecticut,3/23/20,5/20/20
Delaware,3/24/20,6/1/20
District of Columbia,4/1/20,5/29/20
Florida,4/3/20,5/4/20
Georgia,4/3/20,4/24/20
Hawaii,3/25/20,5/7/20
Idaho,3/25/20,5/1/20
Illinois,3/21/20,5/29/20
Indiana,3/24/20,5/4/20
Kansas,3/30/20,5/4/20
Kentucky,3/26/20,5/20/20
Louisiana,3/23/20,5/15/20
Maine,4/2/20,5/1/20
Maryland,3/30/20,5/15/20
Massachusetts,3/24/20,5/18/20
Michigan,3/24/20,6/1/20
Minnesota,3/27/20,5/18/20
Mississippi,4/3/20,4/27/20
Missouri,4/6/20,5/4/20
Montana,3/28/20,4/26/20
Nevada,4/1/20,5/9/20
New Hampshire,3/27/20,5/11/20
New Jersey,3/21/20,6/9/20
New Mexico,3/24/20,5/16/20
New York,3/22/20,5/29/20
North Carolina,3/30/20,5/8/20
Ohio,3/23/20,5/12/20
Oklahoma,3/28/20,4/24/20
Oregon,3/23/20,5/15/20
Pennsylvania,4/1/20,5/15/20
Rhode Island,3/28/20,5/9/20
South Carolina,4/7/20,4/20/20
Tennessee,3/31/20,4/27/20
Texas,4/2/20,4/30/20
Utah,3/30/20,5/1/20
Vermont,5/25/20,5/15/20
Virginia,3/30/20,5/15/20
Washington,3/23/20,5/26/20
West Virginia,3/24/20,5/4/20
Wisconsin,3/25/20,5/13/20
Wyoming,3/28/20,5/1/20